Sub-Narrative,Sub-Narrative Definition,Sub-Narrative Instruction,Narrative ID
there is a real possibility that nuclear weapons will be employed,Statements that evoke fear or anxiety about the use of nuclear weapons.,"This narrative can potentially go in two directions, either claiming that West should not anger Russia, or that Russia should be stopped before they use them.",9
nato should/will directly intervene,"Statements that suggest or claim that the North Atlantic Treaty Organization (NATO) ought to or will take direct military action in a conflict, potentially implying a shift in policy or strategy.",None,9
climate policies are ineffective,Statements suggesting that climate policies fail to achieve their intended environmental goals.,None,11
climate policies have negative impact on the economy,Statements claiming that climate policies lead to negative economic outcomes.,None,11
climate policies are only for profit,Statements that argue climate policies are driven by financial or corporate gain rather than genuine environmental concerns.,None,11
criticism of the eu,Statements that express disapproval or distrust of the EU's role or approach to climate change or the EU in general.,None,12
criticism of international entities,Statements that criticize the role and influence of international entities on climate policy.,None,12
criticism of national governments,Statements that disapprove of the ways national governments handle climate change.,None,12
criticism of political organizations and figures,Statements that discredit political organizations and figures in the context of climate change debate.,None,12
co2 is beneficial,Statements suggesting that increased CO2 levels have positive impacts on the environment.,None,13
temperature increase is beneficial,Statements claiming that rising global temperatures can have positive effects.,None,13
climate cycles are natural,Statements suggesting that climate change is a natural and cyclical occurrence.,None,14
weather suggests the trend is global cooling,Statements using local or short-term weather patterns to argue against global warming.,None,14
temperature increase does not have significant impact,Statements claiming that the increase in temperature is not going to have any noticeable effect in nature.,None,14
co2 concentrations are too small to have an impact,Statements claiming that the concentrations of CO2 will have a negligible effect.,None,14
human activities do not impact climate change,Statements that support that climate change is not caused by human activity.,None,14
ice is not melting,Statements claiming that there is not melting of ice.,None,14
sea levels are not rising,Statements denying that sea levels have risen (or will rise).,None,14
humans and nature will adapt to the changes,Statements claiming that whatever the changes in climate humans or nature will manage to find solutions to adapt.,None,14
methodologies/metrics used are unreliable/faulty,Statements claiming that the scientific methodologies and metrics used to measure climate change are flawed or unreliable.,None,15
data shows no temperature increase,Statements asserting that available data does not support the claim of global temperature increase.,None,15
greenhouse effect/carbon dioxide do not drive climate change,Statements asserting that available data does not support the claim of global temperature increase.,None,15
scientific community is unreliable,"Statements discrediting scientists, the scientific community and their actions.",None,15
climate movement is alarmist,Statements suggesting that the climate movement exaggerates the severity of climate change for dramatic effect.,None,16
climate movement is corrupt,"Statements alleging that the climate movement is influenced by ulterior motives, by corruption or by unethical practices.",None,16
ad hominem attacks on key activists,"Statements attacking the reputation of key figures (such as scientists, activists, politicians or public figures).",None,16
renewable energy is dangerous,Statements claiming that renewable energy sources pose significant risks or dangers.,None,17
renewable energy is unreliable,Statements asserting that renewable energy sources are not dependable for widespread adoption.,None,17
renewable energy is costly,"Statements asserting that renewable energy sources are too expensive, inefficient and worth adopting for widespread use.",None,17
nuclear energy is not climate friendly,Statements asserting that nuclear sources are or should not be considered as good for the climate.,None,17
blaming global elites,Statements attributing climate change agendas to secretive and powerful global elites.,None,18
climate agenda has hidden motives,"Claims that the push for climate action is driven by ulterior motives, such as political power or population control.",None,18
earth will be uninhabitable soon,Statements predicting that the Earth will become uninhabitable in the near future due to climate change.,None,19
amplifying existing fears of global warming,Statements that are using fears related to warming of the earths surface and atmosphere and speculating on side effects to spread panic.,None,19
doomsday scenarios for humans,Statements presenting intense catastrophic scenarios as results of climate change.,None,19
whatever we do it is already too late,Statements that minimize the urgency of addressing climate change by suggesting that any action taken at this point is futile or too late to make a meaningful impact.,None,19
climate-related international relations are abusive/exploitative,Statements criticizing international relations related to climate change as exploitative or economically abusive.,None,20
green activities are a form of neo-colonialism,"Statements suggesting that green initiatives are a way for developed countries to exert control and influence over developing nations, a modern form of colonial practices.",None,20
